<Name>	Online Status	Long Description	Long Description MM	Marketing Text MM	Short Description	Short Description MM
SC-LX 59 K SCHWARZ	ACTIVE	"Willkommen in der Home Entertainment Oberklasse

Mit neun Kanäle, je 240 Watt Leistung und den neuen einhüllenden Surroundformaten ist dieser Receiver auch anspruchsvollem Filmton gewachsen. Die Gehäusearchitektur mit isoliertem, resonanzarmem Doppel-Chassis bietet eine optimale Grundlage für sauberen Klang. Der edle SABRE 32-Bit-D/A-Wandler arbeitet Jitter-frei und macht Musik für verwöhnte Ohren zum Erlebnis. Neben acht HDMI-Eingängen stehen am SC-LX59 für Digitalton auch Netzwerk mit integriertem Dual-Band-WLAN, Bluetooth und USB bereit. DLNA- und USB-Streaming unterstützen dabei HiRes-Formate bis 192kHz/24bit und DSD sowie die Wiedergabe mehrkanaliger FLAC- und WAV-Dateien. Für das Streaming aus der Cloud steht Spotify Connect bereit. AirPlay, direkter Anschluss für iOS- und Android-Smartphones sowie nicht zuletzt ein hochwertiger Phonoeingang runden diesen vielseitigen Receiver ab.

Genießen Sie Spotify, Streaming und AirPlay

Mit dem digitalen Streaming-Service Spotify genießen Sie Millionen von Songs genau dann, wann Sie wollen. Dieser Receiver ist bereit für Spotify Connect, mit dem Sie Songs per App auswählen und auf Ihrem Audiosystem anhören können. Als DLNA-1.5-zertifizierter Netzwerkplayer mit integriertem Dualband-WLAN spielt dieses Gerät Musikdateien aller relevanten Formate aus dem Heimnetzwerk – inklusive hochauflösender DSD- und FLAC-Files, mit komfortabler App-Steuerung und natürlich unterbrechungsfrei (gapless). Tablets und Smartphones schließen Sie bequem und wireless über AirPlay und HTC Connect an, oder ganz ohne Netzwerk via Bluetooth.

4K Ultra HD Scaling, Dolby Atmos & DTS:X

Geben Sie Ihrem UltraHD-Display das Futter, das es braucht: Dieses Pioneer-Gerät ist nicht nur voll kompatibel mit allen verfügbaren High-Definition-Videosignalen – sein hoch leistungsfähiger Video-Scaler erzeugt 4K-Bilder sogar aus Material geringerer Auflösung. So gewinnen selbst Ihre alten DVDs eine neue Dimension an Schärfe und Störfreiheit mit bis zu 20 mal so vielen Bildpunkten. Dieses Gerät unterstützt die neuesten Raumklangformate Dolby Atmos und (nach kostenlosem Update) DTS:X. Mit ihrem objektorientierten Aufbau ermöglichen diese Formate einen perfekt einhüllenden Klang mit präzise platzierten Effekten und realistischen Bewegungsabläufen in allen drei Raumachsen. Dabei werden Lautsprecher-Anordnungen bis zu 11.2 Kanäle unterstützt.

Professionelle Raumeinmessung sowie einfache Einrichtung & volle Kontrolle

MCACC Pro analysiert den Klang Ihrer Lautsprecher über ein mitgeliefertes Mikrofon und passt Lautstärke und Abstand für ein absolut stimmiges Raumklang-Erlebnis selbsttätig an. Zugleich werden mit einem präzise arbeitenden Equalizer eventuell störende Einflüsse der Raumakustik kompensiert. MCACC ist voll kompatibel mit allen Tonformaten inklusive Dolby Atmos und DTS:X. Bei der Einrichtung Ihres Mehrkanal-Receivers unterstützt Sie die App ""Start-up-Navi"". Der integrierte Assistent nimmt für Sie alle wichtigen Einstellungen einschließlich der Netzwerkeinstellungen vor. Mit der App ""iControlAV5"" können Sie anschließend alle wichtigen Funktionen komfortabel per Smartphone oder Tablet (iOS /Android) steuern.

Direct Energy HD Verstärker mit hochauflösendem Ton – auch mehrkanalig!

Dank akribischer Überarbeitung aller Komponenten sowie kompromissloser Leistungsoptimierung liefern die Direct Energy HD-Verstärker einen noch satteren, kraftvolleren Klang mit beeindruckender Ausgangsleistung auf allen Kanälen selbst bei simultaner Belastung. Erleben Sie audiophilen Klang in der vollen Auflösung des Studio-Masters – mit High-Res-Downloads Ihrer Lieblingsalben in den Formaten WAV, ALAC, FLAC, AIFF sowie in DSD. Für den ultimativen Realismus gibt es HiRes-Audio nun auch mehrkanalig in den Formaten WAV und FLAC."	"<header>Willkommen in der Home Entertainment Oberklasse</header>

<body>Mit neun Kanäle, je 240 Watt Leistung und den neuen einhüllenden Surroundformaten ist dieser Receiver auch anspruchsvollem Filmton gewachsen. Die Gehäusearchitektur mit isoliertem, resonanzarmem Doppel-Chassis bietet eine optimale Grundlage für sauberen Klang. Der edle SABRE 32-Bit-D/A-Wandler arbeitet Jitter-frei und macht Musik für verwöhnte Ohren zum Erlebnis. Neben acht HDMI-Eingängen stehen am SC-LX59 für Digitalton auch Netzwerk mit integriertem Dual-Band-WLAN, Bluetooth und USB bereit. DLNA- und USB-Streaming unterstützen dabei HiRes-Formate bis 192kHz/24bit und DSD sowie die Wiedergabe mehrkanaliger FLAC- und WAV-Dateien. Für das Streaming aus der Cloud steht Spotify Connect bereit. AirPlay, direkter Anschluss für iOS- und Android-Smartphones sowie nicht zuletzt ein hochwertiger Phonoeingang runden diesen vielseitigen Receiver ab.</body>

<header>Genießen Sie Spotify, Streaming und AirPlay</header>

<body>Mit dem digitalen Streaming-Service Spotify genießen Sie Millionen von Songs genau dann, wann Sie wollen. Dieser Receiver ist bereit für Spotify Connect, mit dem Sie Songs per App auswählen und auf Ihrem Audiosystem anhören können. Als DLNA-1.5-zertifizierter Netzwerkplayer mit integriertem Dualband-WLAN spielt dieses Gerät Musikdateien aller relevanten Formate aus dem Heimnetzwerk – inklusive hochauflösender DSD- und FLAC-Files, mit komfortabler App-Steuerung und natürlich unterbrechungsfrei (gapless). Tablets und Smartphones schließen Sie bequem und wireless über AirPlay und HTC Connect an, oder ganz ohne Netzwerk via Bluetooth.</body>
<header></header>
<header>4K Ultra HD Scaling, Dolby Atmos & DTS:X</header>

<body>Geben Sie Ihrem UltraHD-Display das Futter, das es braucht: Dieses Pioneer-Gerät ist nicht nur voll kompatibel mit allen verfügbaren High-Definition-Videosignalen – sein hoch leistungsfähiger Video-Scaler erzeugt 4K-Bilder sogar aus Material geringerer Auflösung. So gewinnen selbst Ihre alten DVDs eine neue Dimension an Schärfe und Störfreiheit mit bis zu 20 mal so vielen Bildpunkten. Dieses Gerät unterstützt die neuesten Raumklangformate Dolby Atmos und (nach kostenlosem Update) DTS:X. Mit ihrem objektorientierten Aufbau ermöglichen diese Formate einen perfekt einhüllenden Klang mit präzise platzierten Effekten und realistischen Bewegungsabläufen in allen drei Raumachsen. Dabei werden Lautsprecher-Anordnungen bis zu 11.2 Kanäle unterstützt.</body>

<header>Professionelle Raumeinmessung sowie einfache Einrichtung & volle Kontrolle</header>

<body>MCACC Pro analysiert den Klang Ihrer Lautsprecher über ein mitgeliefertes Mikrofon und passt Lautstärke und Abstand für ein absolut stimmiges Raumklang-Erlebnis selbsttätig an. Zugleich werden mit einem präzise arbeitenden Equalizer eventuell störende Einflüsse der Raumakustik kompensiert. MCACC ist voll kompatibel mit allen Tonformaten inklusive Dolby Atmos und DTS:X. Bei der Einrichtung Ihres Mehrkanal-Receivers unterstützt Sie die App ""Start-up-Navi"". Der integrierte Assistent nimmt für Sie alle wichtigen Einstellungen einschließlich der Netzwerkeinstellungen vor. Mit der App ""iControlAV5"" können Sie anschließend alle wichtigen Funktionen komfortabel per Smartphone oder Tablet (iOS /Android) steuern.</body>

<header>Direct Energy HD Verstärker mit hochauflösendem Ton – auch mehrkanalig!</header>

<body>Dank akribischer Überarbeitung aller Komponenten sowie kompromissloser Leistungsoptimierung liefern die Direct Energy HD-Verstärker einen noch satteren, kraftvolleren Klang mit beeindruckender Ausgangsleistung auf allen Kanälen selbst bei simultaner Belastung. Erleben Sie audiophilen Klang in der vollen Auflösung des Studio-Masters – mit High-Res-Downloads Ihrer Lieblingsalben in den Formaten WAV, ALAC, FLAC, AIFF sowie in DSD. Für den ultimativen Realismus gibt es HiRes-Audio nun auch mehrkanalig in den Formaten WAV und FLAC.</body>"		SC-LX 59 K SCHWARZ	
SC-LX 59 S SILBER	ACTIVE	"Willkommen in der Home Entertainment Oberklasse

Mit neun Kanäle, je 240 Watt Leistung und den neuen einhüllenden Surroundformaten ist dieser Receiver auch anspruchsvollem Filmton gewachsen. Die Gehäusearchitektur mit isoliertem, resonanzarmem Doppel-Chassis bietet eine optimale Grundlage für sauberen Klang. Der edle SABRE 32-Bit-D/A-Wandler arbeitet Jitter-frei und macht Musik für verwöhnte Ohren zum Erlebnis. Neben acht HDMI-Eingängen stehen am SC-LX59 für Digitalton auch Netzwerk mit integriertem Dual-Band-WLAN, Bluetooth und USB bereit. DLNA- und USB-Streaming unterstützen dabei HiRes-Formate bis 192kHz/24bit und DSD sowie die Wiedergabe mehrkanaliger FLAC- und WAV-Dateien. Für das Streaming aus der Cloud steht Spotify Connect bereit. AirPlay, direkter Anschluss für iOS- und Android-Smartphones sowie nicht zuletzt ein hochwertiger Phonoeingang runden diesen vielseitigen Receiver ab.

Genießen Sie Spotify, Streaming und AirPlay

Mit dem digitalen Streaming-Service Spotify genießen Sie Millionen von Songs genau dann, wann Sie wollen. Dieser Receiver ist bereit für Spotify Connect, mit dem Sie Songs per App auswählen und auf Ihrem Audiosystem anhören können. Als DLNA-1.5-zertifizierter Netzwerkplayer mit integriertem Dualband-WLAN spielt dieses Gerät Musikdateien aller relevanten Formate aus dem Heimnetzwerk – inklusive hochauflösender DSD- und FLAC-Files, mit komfortabler App-Steuerung und natürlich unterbrechungsfrei (gapless). Tablets und Smartphones schließen Sie bequem und wireless über AirPlay und HTC Connect an, oder ganz ohne Netzwerk via Bluetooth.

4K Ultra HD Scaling, Dolby Atmos & DTS:X

Geben Sie Ihrem UltraHD-Display das Futter, das es braucht: Dieses Pioneer-Gerät ist nicht nur voll kompatibel mit allen verfügbaren High-Definition-Videosignalen – sein hoch leistungsfähiger Video-Scaler erzeugt 4K-Bilder sogar aus Material geringerer Auflösung. So gewinnen selbst Ihre alten DVDs eine neue Dimension an Schärfe und Störfreiheit mit bis zu 20 mal so vielen Bildpunkten. Dieses Gerät unterstützt die neuesten Raumklangformate Dolby Atmos und (nach kostenlosem Update) DTS:X. Mit ihrem objektorientierten Aufbau ermöglichen diese Formate einen perfekt einhüllenden Klang mit präzise platzierten Effekten und realistischen Bewegungsabläufen in allen drei Raumachsen. Dabei werden Lautsprecher-Anordnungen bis zu 11.2 Kanäle unterstützt.

Professionelle Raumeinmessung sowie einfache Einrichtung & volle Kontrolle

MCACC Pro analysiert den Klang Ihrer Lautsprecher über ein mitgeliefertes Mikrofon und passt Lautstärke und Abstand für ein absolut stimmiges Raumklang-Erlebnis selbsttätig an. Zugleich werden mit einem präzise arbeitenden Equalizer eventuell störende Einflüsse der Raumakustik kompensiert. MCACC ist voll kompatibel mit allen Tonformaten inklusive Dolby Atmos und DTS:X. Bei der Einrichtung Ihres Mehrkanal-Receivers unterstützt Sie die App ""Start-up-Navi"". Der integrierte Assistent nimmt für Sie alle wichtigen Einstellungen einschließlich der Netzwerkeinstellungen vor. Mit der App ""iControlAV5"" können Sie anschließend alle wichtigen Funktionen komfortabel per Smartphone oder Tablet (iOS /Android) steuern.

Direct Energy HD Verstärker mit hochauflösendem Ton – auch mehrkanalig!

Dank akribischer Überarbeitung aller Komponenten sowie kompromissloser Leistungsoptimierung liefern die Direct Energy HD-Verstärker einen noch satteren, kraftvolleren Klang mit beeindruckender Ausgangsleistung auf allen Kanälen selbst bei simultaner Belastung. Erleben Sie audiophilen Klang in der vollen Auflösung des Studio-Masters – mit High-Res-Downloads Ihrer Lieblingsalben in den Formaten WAV, ALAC, FLAC, AIFF sowie in DSD. Für den ultimativen Realismus gibt es HiRes-Audio nun auch mehrkanalig in den Formaten WAV und FLAC."	"<header>Willkommen in der Home Entertainment Oberklasse</header>

<body>Mit neun Kanäle, je 240 Watt Leistung und den neuen einhüllenden Surroundformaten ist dieser Receiver auch anspruchsvollem Filmton gewachsen. Die Gehäusearchitektur mit isoliertem, resonanzarmem Doppel-Chassis bietet eine optimale Grundlage für sauberen Klang. Der edle SABRE 32-Bit-D/A-Wandler arbeitet Jitter-frei und macht Musik für verwöhnte Ohren zum Erlebnis. Neben acht HDMI-Eingängen stehen am SC-LX59 für Digitalton auch Netzwerk mit integriertem Dual-Band-WLAN, Bluetooth und USB bereit. DLNA- und USB-Streaming unterstützen dabei HiRes-Formate bis 192kHz/24bit und DSD sowie die Wiedergabe mehrkanaliger FLAC- und WAV-Dateien. Für das Streaming aus der Cloud steht Spotify Connect bereit. AirPlay, direkter Anschluss für iOS- und Android-Smartphones sowie nicht zuletzt ein hochwertiger Phonoeingang runden diesen vielseitigen Receiver ab.</body>

<header>Genießen Sie Spotify, Streaming und AirPlay</header>

<body>Mit dem digitalen Streaming-Service Spotify genießen Sie Millionen von Songs genau dann, wann Sie wollen. Dieser Receiver ist bereit für Spotify Connect, mit dem Sie Songs per App auswählen und auf Ihrem Audiosystem anhören können. Als DLNA-1.5-zertifizierter Netzwerkplayer mit integriertem Dualband-WLAN spielt dieses Gerät Musikdateien aller relevanten Formate aus dem Heimnetzwerk – inklusive hochauflösender DSD- und FLAC-Files, mit komfortabler App-Steuerung und natürlich unterbrechungsfrei (gapless). Tablets und Smartphones schließen Sie bequem und wireless über AirPlay und HTC Connect an, oder ganz ohne Netzwerk via Bluetooth.</body>
<header></header>
<header>4K Ultra HD Scaling, Dolby Atmos & DTS:X</header>

<body>Geben Sie Ihrem UltraHD-Display das Futter, das es braucht: Dieses Pioneer-Gerät ist nicht nur voll kompatibel mit allen verfügbaren High-Definition-Videosignalen – sein hoch leistungsfähiger Video-Scaler erzeugt 4K-Bilder sogar aus Material geringerer Auflösung. So gewinnen selbst Ihre alten DVDs eine neue Dimension an Schärfe und Störfreiheit mit bis zu 20 mal so vielen Bildpunkten. Dieses Gerät unterstützt die neuesten Raumklangformate Dolby Atmos und (nach kostenlosem Update) DTS:X. Mit ihrem objektorientierten Aufbau ermöglichen diese Formate einen perfekt einhüllenden Klang mit präzise platzierten Effekten und realistischen Bewegungsabläufen in allen drei Raumachsen. Dabei werden Lautsprecher-Anordnungen bis zu 11.2 Kanäle unterstützt.</body>

<header>Professionelle Raumeinmessung sowie einfache Einrichtung & volle Kontrolle</header>

<body>MCACC Pro analysiert den Klang Ihrer Lautsprecher über ein mitgeliefertes Mikrofon und passt Lautstärke und Abstand für ein absolut stimmiges Raumklang-Erlebnis selbsttätig an. Zugleich werden mit einem präzise arbeitenden Equalizer eventuell störende Einflüsse der Raumakustik kompensiert. MCACC ist voll kompatibel mit allen Tonformaten inklusive Dolby Atmos und DTS:X. Bei der Einrichtung Ihres Mehrkanal-Receivers unterstützt Sie die App ""Start-up-Navi"". Der integrierte Assistent nimmt für Sie alle wichtigen Einstellungen einschließlich der Netzwerkeinstellungen vor. Mit der App ""iControlAV5"" können Sie anschließend alle wichtigen Funktionen komfortabel per Smartphone oder Tablet (iOS /Android) steuern.</body>

<header>Direct Energy HD Verstärker mit hochauflösendem Ton – auch mehrkanalig!</header>

<body>Dank akribischer Überarbeitung aller Komponenten sowie kompromissloser Leistungsoptimierung liefern die Direct Energy HD-Verstärker einen noch satteren, kraftvolleren Klang mit beeindruckender Ausgangsleistung auf allen Kanälen selbst bei simultaner Belastung. Erleben Sie audiophilen Klang in der vollen Auflösung des Studio-Masters – mit High-Res-Downloads Ihrer Lieblingsalben in den Formaten WAV, ALAC, FLAC, AIFF sowie in DSD. Für den ultimativen Realismus gibt es HiRes-Audio nun auch mehrkanalig in den Formaten WAV und FLAC.</body>"		SC-LX 59 S SILBER	
2029869 VSX 430 K SCHWARZ	ACTIVE				VSX 430 K SCHWARZ	
2029870 VSX 330 K SCHWARZ	ACTIVE				5.1 Mehrkanal Receiver mit 4K Ultra HD Pass-Through und HDCP 2.2	
2029877 SX-N 30 K SCHWARZ	ACTIVE				SX-N 30 K SCHWARZ	
2029878 SX-N 30 S SILBER	ACTIVE				SX-N 30 S SILBER	
2029889 A 70 DA-K SCHWARZ	ACTIVE	"Klasse und reichlich Masse

Der über 17 Kilo schwere A-70DA setzt nicht nur auf Masse, sondern vor allem auf Klasse: Separate Netztrafos für Vor- und Endstufensektion, vor allem wenn sie wie hier einzeln vergossen und geschirmt sind, bringen eben nicht nur Gewicht, sondern unerreicht störarme Arbeitsbedingungen für die Audio-Schaltkreise. Das lohnt sich beim A-70DA gleich doppelt, denn seine Vorstufe ist komplett symmetrisch ausgelegt. Für den symmetrischen XLR-Eingang wurde sogar eine eigene, besonders verlustarme Lautstärkeregelung eingebaut. Über seine Digitaleingänge ist der A-70DA für alle modernen Musikformate gerüstet. Via USB werden dabei auch allerhöchste Auflösungen wie Quad-DSD (11,2MHz) oder PCM mit 38000 Hz und 32bit unterstützt. Das hochauflösende Gegenstück in der Analogwelt sind exklusive MC-Tonabnehmer, die das Topmodell dank umschaltbarem Phonoteil ebenso präzise versorgt wie die verbreiteten MM-Systeme. Das Gehäuse sorgt mit seinem doppelten Chassis, dem Vollmetall-Lautstärkeknopf und den dicken Aluminium-Front- und Seitenpaneelen für einen passend hochwertigen Auftritt."	"<header>Klasse und reichlich Masse</header>
<header></header>
<body>Der über 17 Kilo schwere A-70DA setzt nicht nur auf Masse, sondern vor allem auf Klasse: Separate Netztrafos für Vor- und Endstufensektion, vor allem wenn sie wie hier einzeln vergossen und geschirmt sind, bringen eben nicht nur Gewicht, sondern unerreicht störarme Arbeitsbedingungen für die Audio-Schaltkreise. Das lohnt sich beim A-70DA gleich doppelt, denn seine Vorstufe ist komplett symmetrisch ausgelegt. Für den symmetrischen XLR-Eingang wurde sogar eine eigene, besonders verlustarme Lautstärkeregelung eingebaut. Über seine Digitaleingänge ist der A-70DA für alle modernen Musikformate gerüstet. Via USB werden dabei auch allerhöchste Auflösungen wie Quad-DSD (11,2MHz) oder PCM mit 38000 Hz und 32bit unterstützt. Das hochauflösende Gegenstück in der Analogwelt sind exklusive MC-Tonabnehmer, die das Topmodell dank umschaltbarem Phonoteil ebenso präzise versorgt wie die verbreiteten MM-Systeme. Das Gehäuse sorgt mit seinem doppelten Chassis, dem Vollmetall-Lautstärkeknopf und den dicken Aluminium-Front- und Seitenpaneelen für einen passend hochwertigen Auftritt.</body>"		A 70 DA-K SCHWARZ	
2029894 A-70 DA-S SILBER	ACTIVE	"Klasse und reichlich Masse

Der über 17 Kilo schwere A-70DA setzt nicht nur auf Masse, sondern vor allem auf Klasse: Separate Netztrafos für Vor- und Endstufensektion, vor allem wenn sie wie hier einzeln vergossen und geschirmt sind, bringen eben nicht nur Gewicht, sondern unerreicht störarme Arbeitsbedingungen für die Audio-Schaltkreise. Das lohnt sich beim A-70DA gleich doppelt, denn seine Vorstufe ist komplett symmetrisch ausgelegt. Für den symmetrischen XLR-Eingang wurde sogar eine eigene, besonders verlustarme Lautstärkeregelung eingebaut. Über seine Digitaleingänge ist der A-70DA für alle modernen Musikformate gerüstet. Via USB werden dabei auch allerhöchste Auflösungen wie Quad-DSD (11,2MHz) oder PCM mit 38000 Hz und 32bit unterstützt. Das hochauflösende Gegenstück in der Analogwelt sind exklusive MC-Tonabnehmer, die das Topmodell dank umschaltbarem Phonoteil ebenso präzise versorgt wie die verbreiteten MM-Systeme. Das Gehäuse sorgt mit seinem doppelten Chassis, dem Vollmetall-Lautstärkeknopf und den dicken Aluminium-Front- und Seitenpaneelen für einen passend hochwertigen Auftritt."	"<header>Klasse und reichlich Masse</header>
<header></header>
<body>Der über 17 Kilo schwere A-70DA setzt nicht nur auf Masse, sondern vor allem auf Klasse: Separate Netztrafos für Vor- und Endstufensektion, vor allem wenn sie wie hier einzeln vergossen und geschirmt sind, bringen eben nicht nur Gewicht, sondern unerreicht störarme Arbeitsbedingungen für die Audio-Schaltkreise. Das lohnt sich beim A-70DA gleich doppelt, denn seine Vorstufe ist komplett symmetrisch ausgelegt. Für den symmetrischen XLR-Eingang wurde sogar eine eigene, besonders verlustarme Lautstärkeregelung eingebaut. Über seine Digitaleingänge ist der A-70DA für alle modernen Musikformate gerüstet. Via USB werden dabei auch allerhöchste Auflösungen wie Quad-DSD (11,2MHz) oder PCM mit 38000 Hz und 32bit unterstützt. Das hochauflösende Gegenstück in der Analogwelt sind exklusive MC-Tonabnehmer, die das Topmodell dank umschaltbarem Phonoteil ebenso präzise versorgt wie die verbreiteten MM-Systeme. Das Gehäuse sorgt mit seinem doppelten Chassis, dem Vollmetall-Lautstärkeknopf und den dicken Aluminium-Front- und Seitenpaneelen für einen passend hochwertigen Auftritt.</body>"		A-70 DA-S SILBER	
2029898 A 50 DA-K SCHWARZ	ACTIVE				Vollverstärker mit integriertem asynchronem USB-DAC und ESS Sabre32 Ultra D/A-Wandler. 	
2029899 A 50 DA-S SILBER	ACTIVE				Vollverstärker mit integriertem asynchronem USB-DAC und ESS Sabre32 Ultra D/A-Wandler	
2035149 TX 8150 B SCHWARZ	ACTIVE	"Enorme Vielseitigkeit bei fantastischem Klang

Dank eines diskreten Verstärkungssystems mit niedriger Impedanz und 135 W/Kanal an purer High-Current-Analogleistung können Ihre Lautsprecher für maximale Tiefe und Klarheit sorgen, egal, welche Audioquelle Sie gewählt haben. Dabei haben Sie zahlreiche Möglichkeiten: TV-Klang über digitale Eingänge, Musik-Streaming mit Spotify über Wi-Fi®, iTunes via AirPlay, MP3 von USB-Laufwerken, Audio über mobile Apps via Bluetooth und auch UKW- oder DAB+-Radio. Außerdem bieten wir Ihnen einen Phono-Vorverstärkereingang für Ihren Plattenspieler, während Sie über die vier digitalen und sechs analogen Eingänge weitere Wiedergabegeräte anschließen können. Mit BGM-Senderspeichern können Sie vier bevorzugte UKW-, DAB+- und Internet-Radiostationen speichern, damit optimale Unterhaltung stets nur einen Tastendruck entfernt ist.  Geben Sie sich nicht mit einer zweitklassigen Lösung zufrieden: Dank fast 70 Jahren Erfahrung mit der Entwicklung hochwertiger Hi-Fi-Geräte kann Ihnen kaum ein anderer Hersteller ein ähnlich überragendes Klangerlebnis bieten wie Onkyo."			Netzwerk-Stereo-Receiver, 135W/Kanal, Spotify/Deezer/AirPlay, Hi-Res Audio, 384kHz/32Bit DAC, Phono, 4 digitale und 6 analoge Eingänge, Fernbedienungs App für iOS/Android	
2035150 TX 8150 S SILBER	ACTIVE	"Enorme Vielseitigkeit bei fantastischem Klang

Dank eines diskreten Verstärkungssystems mit niedriger Impedanz und 135 W/Kanal an purer High-Current-Analogleistung können Ihre Lautsprecher für maximale Tiefe und Klarheit sorgen, egal, welche Audioquelle Sie gewählt haben. Dabei haben Sie zahlreiche Möglichkeiten: TV-Klang über digitale Eingänge, Musik-Streaming mit Spotify über Wi-Fi®, iTunes via AirPlay, MP3 von USB-Laufwerken, Audio über mobile Apps via Bluetooth und auch UKW- oder DAB+-Radio. Außerdem bieten wir Ihnen einen Phono-Vorverstärkereingang für Ihren Plattenspieler, während Sie über die vier digitalen und sechs analogen Eingänge weitere Wiedergabegeräte anschließen können. Mit BGM-Senderspeichern können Sie vier bevorzugte UKW-, DAB+- und Internet-Radiostationen speichern, damit optimale Unterhaltung stets nur einen Tastendruck entfernt ist.  Geben Sie sich nicht mit einer zweitklassigen Lösung zufrieden: Dank fast 70 Jahren Erfahrung mit der Entwicklung hochwertiger Hi-Fi-Geräte kann Ihnen kaum ein anderer Hersteller ein ähnlich überragendes Klangerlebnis bieten wie Onkyo."			Netzwerk-Stereo-Receiver, 135W/Kanal, Spotify/Deezer/AirPlay, Hi-Res Audio, 384kHz/32Bit DAC, Phono, 4 digitale und 6 analoge Eingänge, Fernbedienungs App für iOS/Android	
2035151 TX 8130 B SCHWARZ	ACTIVE	"Erweitern Sie Ihr Unterhaltungssystem um dynamischen Hi-Fi-Klang

Mit einer High-Current-Leistung von 110 W/Kanal und einem vollkommen diskreten Verstärkungssystem, das sich durch geringe Impedanz auszeichnet, gibt der TX-8130 Audioquellen mit dynamischer Energie und maximaler Originaltreue wieder. Überall kommen maßgeschneiderte Komponenten zum Einsatz: vom High-Current-EI-Transformator über zwei Kondensatoren mit 8.200 µF und ein stabiles, ovales Chassis bis hin zum 384-kHz/32-Bit-DA-Wandler, der im Netzwerk übertragene 192/24-HD- und 5.6 MHz-DSD-Dateien entschlüsselt. Egal ob Sie Spotify, Deezer oder TuneIn Radio (Auswahl einzelner Songs mit der Fernbedienungs-App) oder lieber Schallplatten hören möchten, können Sie sich auf einen lebendigen, klaren und warmen Klang freuen, wie ihn nur wenige Verstärker dieser Preisklasse bieten. Weitere Details wie BGM-Senderspeicher zur Wiedergabe von UKW-, MW- und Internet-Radiostationen mit einem Tastendruck, verschiedene analoge und digitale Anschlussmöglichkeiten sowie das stabile Design unterstreichen die Qualität, Wertigkeit und Vielseitigkeit des Verstärkers."			Netzwerk-Stereo-Receiver, 110W/Kanal, Spotify/Deezer/Internet-Radio, Hi-Res Audio, 384kHz/32Bit DAC, Phono, 2 digitale und 6 analoge Eingänge, Fernbedienungs App für iOS/Android	
2035152 TX 8130 S SILBER	ACTIVE	"Erweitern Sie Ihr Unterhaltungssystem um dynamischen Hi-Fi-Klang

Mit einer High-Current-Leistung von 110 W/Kanal und einem vollkommen diskreten Verstärkungssystem, das sich durch geringe Impedanz auszeichnet, gibt der TX-8130 Audioquellen mit dynamischer Energie und maximaler Originaltreue wieder. Überall kommen maßgeschneiderte Komponenten zum Einsatz: vom High-Current-EI-Transformator über zwei Kondensatoren mit 8.200 µF und ein stabiles, ovales Chassis bis hin zum 384-kHz/32-Bit-DA-Wandler, der im Netzwerk übertragene 192/24-HD- und 5.6 MHz-DSD-Dateien entschlüsselt. Egal ob Sie Spotify, Deezer oder TuneIn Radio (Auswahl einzelner Songs mit der Fernbedienungs-App) oder lieber Schallplatten hören möchten, können Sie sich auf einen lebendigen, klaren und warmen Klang freuen, wie ihn nur wenige Verstärker dieser Preisklasse bieten. Weitere Details wie BGM-Senderspeicher zur Wiedergabe von UKW-, MW- und Internet-Radiostationen mit einem Tastendruck, verschiedene analoge und digitale Anschlussmöglichkeiten sowie das stabile Design unterstreichen die Qualität, Wertigkeit und Vielseitigkeit des Verstärkers."			Netzwerk-Stereo-Receiver, 110W/Kanal, Spotify/Deezer/Internet-Radio, Hi-Res Audio, 384kHz/32Bit DAC, Phono, 2 digitale und 6 analoge Eingänge, Fernbedienungs App für iOS/Android	
2040715 CD-RW 890 MKII-B	ACTIVE	"CD Recorder

Der TEAC CD-RW890MKII zeichnet auf CD-R- und CD-RW-Medien auf und eignet sich ideal zum Überspielen sowie zur Aufnahme von Veranstaltungen. Sie können das an den analogen Eingängen anliegende Signal aufzeichnen, während Sie auf der frontseitigen LCD-Anzeige den Pegel überwachen. CDs werden auf einen mittig montierten Laufwerksmechanismus geklemmt, der Vibrationen minimiert. Auf diese Weise werden Verzerrungen durch Jitter reduziert, was einen klareren Klang bewirkt.

Wie das Vorgängermodell CD-RW890 beherrscht auch der CD-RW890MKII den vollen Funktionsumfang eines CD-Spielers, einschließlich verschiedener Wiedergabemodi und eines optischen S/PDIF-Eingangs. Eine Fernbedienung ist ebenfalls im Lieferumfang enthalten. Außerdem bietet der CD-RW890MKII eine neue Funktion, die „zeitgesteuerte Titelerstellung"	"<header>CD Recorder</header>
<header></header>
<body>Der TEAC CD-RW890MKII zeichnet auf CD-R- und CD-RW-Medien auf und eignet sich ideal zum Überspielen sowie zur Aufnahme von Veranstaltungen. Sie können das an den analogen Eingängen anliegende Signal aufzeichnen, während Sie auf der frontseitigen LCD-Anzeige den Pegel überwachen. CDs werden auf einen mittig montierten Laufwerksmechanismus geklemmt, der Vibrationen minimiert. Auf diese Weise werden Verzerrungen durch Jitter reduziert, was einen klareren Klang bewirkt.</body>

<body>Wie das Vorgängermodell CD-RW890 beherrscht auch der CD-RW890MKII den vollen Funktionsumfang eines CD-Spielers, einschließlich verschiedener Wiedergabemodi und eines optischen S/PDIF-Eingangs. Eine Fernbedienung ist ebenfalls im Lieferumfang enthalten. Außerdem bietet der CD-RW890MKII eine neue Funktion, die „zeitgesteuerte Titelerstellung</body>"		CD-RW 890 MKII-B	
