<Name>	Category Relation Classification Reference	Online Status	Long Description	Long Description MM	Marketing Text MM	Short Description	Short Description MM
1610808 M 20 RDW WEISS	1165;307	ACTIVE				M 20 RDW WEISS	
1610806 M 20 RD	1165;307	ACTIVE				M 20 RD	
1604843 RCD 1450 DAB+ SCHWARZ	1165;307;1167	ACTIVE				RCD 1450 DAB+ SCHWARZ	
1592762 CD 47 PINK	1165;307;2586	ACTIVE				CD 47 PINK	
1583768 UR 2050	1165;307	ACTIVE				UR 2050	
1592761 CD 46 PURPLE	1165;307	ACTIVE				CD 46 PINK	
1602968 SCD 5405 ROT	1165;307	ACTIVE				SCD 5405 ROT	
1602739 AZ 385/12	1165;307	ACTIVE				AZ 385/12	
1602740 AZD 102/12	1165;307	ACTIVE				AZD 102/12	
1593744 GX-M 10 H BOOMBOX METALLIC-ORANGE	1165;307	ACTIVE				GX-M 10 H BOOMBOX METALLIC-ORANGE	
1592759 CD 46 PINK	1165;307;2586	ACTIVE				CD 46 PINK	
1602969 SCD 5405 BLAU	1165;307	ACTIVE				SCD 5405 BLAU	
1656128 RX-D 55 AEG-K	1165;307;7983	ACTIVE		"Mit starken 20W (RMS) Ausgangsleistung werden MP3 Dateien von CD oder USB abgespielt. Selbstverständlich auch jede herkömmliche Audio-CD, oder CD-R/RW. 
Ein Musicport für portable Mediaplayer und ein Kassettendeck runden das Equipment ab. Der PLL-Tuner für UKW/MW hat 32 Stationsspeicher und die Anzeigen werden auf einem beleuchteten LC-Display dargestellt. Zusätzlichen Bedienkomfort bietet die mitgelieferte Fernbedienung."		Der CD-Radiorecorder RX-D55 mit sattem Klang und multimedialer Vielseitigkeit.	
1657966 RCD 102 MN DISNEY MINNIE BOOMBOX	1165;310	ACTIVE				RCD 102 MN DISNEY MINNIE BOOMBOX	
1643938 BT 4160	1165;8022;8024	ACTIVE				BT 4160	
1643935 RR 5140	1165;307	ACTIVE		"Da werden Sie Augen bzw. Ohren machen! Denn die Bluetooth-Boombox RR 5140BT von Karcher ist sozusagen ein kleiner Alleskönner, wenn es darum geht Ihre Lieblingsmusik abzuspielen. Mit einem FM-Radio, CD/MP3-Player, USB-Anschluss, SD-Kartenleser, Bluetooth und hochwertigen Lautsprecher, mit einer beeindruckenden Ausgangsleistung von 80 Watt (PMPO), bietet Ihnen der RR 5140BT das volle technische Programm.
Genießen Sie Ihre Lieblingsmusik, die auf Ihrem Smartphone, Mobiltelefon, Tablet-PC oder Notebook gespeichert ist, in einem tollen Sound und dank Bluetooth ganz ohne Kabelwirrwarr!"		RR 5140	
1654649 B 30 E GR GRÜN	1165;307	ACTIVE		"<header>Bluetooth</header>



<body>Die Blaupunkt B 30e Boombox mit Bluetooth-Technologie zur kabellosen Übertragung von Musikdateien ermöglicht eine völlig unbeschwerte Freiheit beim Musikhören. Nun können Sie Musik von jedem Bluetooth-fähigen Gerät wie z.B. iPhone, Android, BlackBerry, Nokia, Tablet PC´s und auch Notebooks drahtlos abspielen (maximale Betriebsreichweite: 10 Meter).</body>



<header>USB Anschluss</header>



<body>Diese Boombox kann auch Musik von USB-Speicher oder von externe Audio-Geräte (z.B. MP3-Player oder Notebooks) abspielen.</body>



<header>CD und MP3 Player</header>



<body>Der eingebaute CD-Player spielt neben Original-CDs auch CD-R, CD-RW und CD-MP3 ab. Die hochwertigen Lautsprecher bieten einen sehr guten Klang. Mit der Programmierfunktion können Sie Ihre persönliche Wiedergabeliste erstellen und die gewählten Soundtracks werden in der von Ihnen Reihenfolge wiedergegeben. Sie können bis zu 20 Titel von einer CD oder bis zu 99 Titelnvon einer MP3-Disc programmieren.</body>"		B 30 E GR GRÜN	
1657302 RR 5070	1165;307	ACTIVE		"Hinter dem modernen Gehäuse in rosa-metallic verbirgt sich eine Boombox mit Top-Ausstattung. Genießen Sie Ihren Lieblingsradiosender dank AM/FM-Tuner, spielen Sie Ihre Musik über Audio-CD oder USB ab, steuern Sie die Wiedergabe über die mitgelieferte Fernbedienung und erleben Sie einen Top-Sound dank der hochwertigen Lautsprecher mit einer Ausgangsleistung von 50 Watt (PMPO). Mit dem Top-Loading CD-Spieler können Sie nicht nur gekaufte CDs, sondern auch CD-R, CD-RW und sogar MP3-CDs abspielen. Die Wiedergabereihenfolge lässt sich im CD-Modus für bis zu 20 Titel und im MP3-Modus für bis zu 99 Titel programmieren. So können Sie in Zukunft Ihrer Lieblings-CD in der von Ihnen gewünschten Reihenfolge abspielen. Natürlich können Sie sich in der Titelwiedergabe auch überraschen lassen, indem Sie die Zufallswiedergabe aktivieren. Und wenn Sie einfach nicht genug von Ihrem Lieblingslied oder Ihrer Lieblings-CD bekommen können, dann nutzen Sie doch die REPEAT-Funktion, mit der Sie den aktuellen Titel, ein Album/Ordner (nur bei MP3-Wiedergabe) oder die gesamte CD so oft wiederholen lassen können, wie Sie möchten.

Das große Multifunktions-Display verfügt im MP3-Modus über die praktische ID3-Tag-Funktion, die Ihnen alle verfügbaren Zusatzinformationen der MP3-Dateien anzeigt. So erfahren Sie beispielsweise den Namen des Interpreten, des Titels und vieles mehr.
Zusätzlich zum CD/MP3-Player besitzt die RR 5070 Boombox über einen USB-Anschluss für die MP3-Wiedergabe. Einfach USB-Stick einstecken – den Funktionswahlschalter auf “CD/MP3/USB” stellen – Musik genießen: So einfach ist die Wiedergabe via USB-Anschluss! Die Titelwahl und die Festlegung der Wiedergabereihenfolge erfolgt dabei genauso, wie bei einer MP3-CD. Dank der hochwertigen Stereo-Lautsprecher mit einer Ausgangsleistung von 50 Watt (PMPO) können Sie bei Ihrem nächsten Picknick oder Ausflug ins Freie für die richtige musikalische Untermalung sorgen, ohne dabei qualitativ Abstriche machen zu müssen."		Das Karcher RR 5070 Stereo-CD-Radio ist kompakt, trendy, fesch und modern – kurz ein echter Hingucker! 	
1627554 B 15 E PINK	1165;307	ACTIVE				B 15 E PINK	
1654802 RCD 200 SP SPIDER-MAN	1165;310	ACTIVE				RCD 200 SP SPIDER-MAN	
1657965 RCD 102 SP SPIDER-MAN	1165;310	ACTIVE				RCD 102 SP SPIDER-MAN	
1667040 ISCD 36 SCHWARZ	1165;307;310	ACTIVE				ISCD 36 SCHWARZ	
1664918 URD 810 IPH	1165;307	ACTIVE				URD 810 IPH	
1667114 RCD 1400 WEISS CD-KOFFERRADIO	1165;307	ACTIVE				RCD 1400 WEISS CD-KOFFERRADIO	
1670656 RX-D 50 AEG-S	1165;307	ACTIVE		Der CD-Radiorecorder RX-D50 bietet MP3-CD Wiedergabe und 6 Watt (RMS) Ausgangsleistung mit seinen hochwertigen 2-Wege Lautsprechern. Darüber hinaus hat er einen PLL-Tuner, gibt CD-R/RWs wieder und hat einen eingebauten Timer (Wiedergabe/Einschlaffunktion). Zusätzlichen Bedienkomfort bietet die mitgelieferte Fernbedienung sowie der mögliche Batteriebetrieb für unterwegs.		RX-D 50 AEG-S	
1667037 ISCD 33 ROT	1165;307	ACTIVE				ISCD 33 ROT	
1671131 CD 52 WEISS/ROSA	1165;307	ACTIVE				CD 52 WEISS/ROSA	
1668465 AZ 105 R ROT	1165;307	ACTIVE				AZ 105 R ROT	
1659009 AZ 787/12	1165;307	ACTIVE				AZ 787/12	
1691938 SB 56	1165;307	ACTIVE		"<body>Die SB56 Boombox ist ein kleines Multitalent, mit einer besonderen Betonung auf „klein“: Dank ihrer kompakten Maße ist sie der ideale Begleiter zu allen Gelegenheiten, bei denen Sie satten Sound benötigen. Den liefert sie mittels ausgereifter Technologie und der beiden Stereoboxen sowohl bei Radioempfang als auch von CD und sogar vom USB-Stick. Als Multitalent unterstützt sie dabei natürlich auch das MP3- und WMA-Format – und bietet Ihnen eine ganz bequeme Bedienbarkeit über die mitgelieferte Fernbedienung.</body>

<header>Musik über USB oder Portable In abspielen</header>
<body>Erstellen Sie eine eigene Musik-Bibliothek auf einem USB-Stick – und spielen Sie diese direkt ab! Sie können sogar Ihr mobiles Gerät (MP3-Player, Smartphone etc.) einfach via Portable In anschließen.</body>
<header></header>
<header>Equalizer</header>
<body>Mit den Equalizer-Voreinstellungen erleben Sie Musik beliebiger Genres über Ihr LG Sound-System in exzellenter Tonqualität.</body>"		SB 56	
1659010 AZ 127/12	1165;307;7983	ACTIVE	"Genießen Sie Ihre Musik überall
Freuen Sie sich über den hohen Bedienkomfort. Mit dem eleganten tragbaren AZ127 können Sie Ihre Lieblingsmusik mit einfachen Bedienfunktionen genießen.

Das ultimative Hörerlebnis
Gibt CD, CD-R und CD-RW wieder.  Autostop-Kassettendeck. UKW-Tuner für Musikgenuss beim Radiohören.

Einfache Anwendung
20 CD-Titel programmierbar. CD Shuffle/Repeat für individuellen Musikgenuss. Audioeingang für einfache Wiedergabe tragbarer Musik.

Satter und klarer Sound
Dynamic Bass Boost für tiefe und dynamische Bässe."	"<header>Genießen Sie Ihre Musik überall</header>
<body>Freuen Sie sich über den hohen Bedienkomfort. Mit dem eleganten tragbaren AZ127 können Sie Ihre Lieblingsmusik mit einfachen Bedienfunktionen genießen.</body>

<header>Das ultimative Hörerlebnis</header>
<body>Gibt CD, CD-R und CD-RW wieder.  Autostop-Kassettendeck. UKW-Tuner für Musikgenuss beim Radiohören.</body>

<header>Einfache Anwendung</header>
<body>20 CD-Titel programmierbar. CD Shuffle/Repeat für individuellen Musikgenuss. Audioeingang für einfache Wiedergabe tragbarer Musik.</body>

<header>Satter und klarer Sound</header>
<body>Dynamic Bass Boost für tiefe und dynamische Bässe.</body>"		AZ 127/12	
1691939 SB 36	1165;307	ACTIVE		"<header>König der Straße</header>
<body>Die SB36 Boombox hat gefährliche Vorfahren: Ihr Design ist inspiriert von den Ghettoblastern der 80er Jahre, jenen lautstarken Bassmaschinen, die in den finsteren Teilen der Großstädte den Sound der Straße prägten und so zu Ikonen wurden. Die Technik unter der Oberfläche hat mit jener Zeit freilich nichts mehr zu tun: Hier ringt modernste Elektronik selbst hartgesottenen Soundfans ein anerkennendes Nicken ab – dank CD-Player, Senderspeicher, Equalizer und USB-Anschluss sowie MP3- und WMA-Unterstützung. Und für alle, die ihre Musik lieber nicht mit dem Rest der Nachbarschaft teilen möchten, verfügt die SB36 neben zwei leistungsfähigen Stereo-Sound-Boxen natürlich auch über einen Kopfhörerzugang.</body>
<header></header>
<header>Musik über USB oder Portable In abspielen</header>
<body>Erstellen Sie eine eigene Musik-Bibliothek auf einem USB-Stick – und spielen Sie diese direkt ab! Sie können sogar Ihr mobiles Gerät (MP3-Player, Smartphone etc.) einfach via Portable In anschließen.</body>

<header>Kopfhöreranschluss</header>
<body>Keine Störungen mehr! Genießen Sie den Ton über Kopfhörer, ganz für sich allein.</body>

<header>Equalizer</header>
<body>Mit den Equalizer-Voreinstellungen erleben Sie Musik beliebiger Genres über Ihr LG Sound-System in exzellenter Tonqualität.</body>"		SB 36	
1676602 AZ 105 N BLAU	1165;307	ACTIVE				AZ 105 N BLAU	
1659078 MC 6550	1165;788;1155	ACTIVE				MC 6550	
1691940 SB 16 B	1165;307	ACTIVE		<body>Ob für Küche, Kinderzimmer oder Hobbykeller – das kompakte LG SB16B Stereoradio sorgt für gute Unterhaltung. Dafür sind zunächst einmal die beiden links und rechts verbauten Boxen im Zusammenspiel mit dem Equalizer zuständig. Für die nötige Abwechslung sorgt die vielseitige Kombination aus CD-Player, FM-Radio und USB-Anschluss zur Wiedergabe von MP3- und WMA-Dateien. Und falls Sie Ihre Musik einmal ganz für sich genießen möchten, können Sie einfach Ihre Kopfhörer über den 3,5-mm- Klinkenanschluss einstecken und lauschen.</body>		SB 16 B	
1665973 RCR 4625 CD/BL BLAU	1165;307	ACTIVE	Stereo Boombox mit CD und Kassette			Radiorecorder	
1671656 RV-S 1 BE SCHWARZ	1165;307	ACTIVE		"<header>Twin Subwoofer geben tiefsten Bass</header>
<body>Die Super-Subwoofer auf jeder Seite und die Bass-Reflex Röhren auf der Rückseite erzeugen einen tiefen, kraftvollen Bass. Isolierte Front-Lautsprecher eliminieren zusätzlich ungewünschte Vibrationen</body>.

<header>40W Kraftpaket mit 4 Amplifiern</header>
<body>Die vier eingebauten Einzelverstärker mit insgesamt 40 Watt Leistung versorgen exklusiv einen der beiden Hauptlautsprecher oder einen der beiden Super-Tieftöner. Dieser Aufbau minimiert Störungen und sorgt selbst bei höheren Lautstärken für einen klaren und kraftvollen Klang.</body>

<header>Made for iPod / iPhone</header>
<body>Fit für iPhone/iPod? Aber klar. Der Dock-Anschluss schützt mit einer durchsichtigen Schiebeklappe dein iPhone oder deinen iPod auf die smarte Art. Du kannst das eingesteckte Gerät mit der Fernbedienung starten und durch die transparente Abdeckung die Displayinhalte erkennen.</body>
<header></header>
<header>Anschlüsse zu Smartphone, Tablet und mehr</header>
<body>Die Boomblaster RV-S-Serie unterstützt die gängigsten Anschlüsse und Speichermedien für deine Musikdateien. Zur Wahl stehen ein iPhone/iPod-Dock, zwei USB-Anschlüsse (einer davon ist für das iPhone 5 geeignet) und ein Steckplatz für SD-Speicherkarten. Darüber hinaus kannst du über UKW-Tuner Radio hören.</body>"		RV-S 1 BE SCHWARZ	
1691941 SB 16 W	1165;307	ACTIVE				SB 16 W	
1664864 ZS-PE 40 CPB	1165;307	ACTIVE				ZS-PE 40 CPB	
1691009 OST 690	1165;307	ACTIVE		"<header>Musik kabellos von Ihrem Smartphone</header>

<body>Die achtziger Jahre sind zurück! Dieser Ghettoblaster im Retro-Stil ist nicht nur optisch perfekt abgestimmt, sondern gibt Musik auch besser wieder. Mit Bluetooth-Streaming, Audio-Eingangskabel und USB Direct haben Sie alle Optionen parat, die Sie benötigen, einschließlich des Aufladens über USB und eines integrierten Aufbewahrungsfachs.</body>

<header>Genießen Sie Ihre Musik kabellos</header>

<body>Übertragen Sie Ihre Musikbibliothek über Bluetooth.</body>

<header>Genießen Sie Musik aus verschiedenen Quellen</header>

<body>MP3/WMA-Musikwiedergabe direkt über Ihr tragbares USB-Laufwerk. Digitaler UKW-Tuner. Audioeingang für einfache Wiedergabe tragbarer Musik.</body>
<header></header>
<header>Einfache Anwendung</header>

<body>Integriertes Fach zum Laden Ihres Smartphones</body>

<header>Satter und klarer Sound</header>

<body>12 W Gesamtausgangsleistung. Dynamic Bass Boost für tiefe und dynamische Bässe.</body>"		OST 690	
1691010 AZ 105 C ROSA	1165;307	ACTIVE				Programmieren Sie Ihre Lieblingsmusik	
1665968 RCR 4650 USMPB BLAU	1165;307	ACTIVE				Stereo Boombox mit CD/MP3, USB, SD/MMC-Slot	
1665907 SCD 2250 SW PORTABLE AUDIO	1165;307	ACTIVE				SCD 2250 SW PORTABLE AUDIO	
1671657 RV-S 1 WE WEISS	1165;307	ACTIVE		"<header>Twin Subwoofer geben tiefsten Bass</header>
<body>Die Super-Subwoofer auf jeder Seite und die Bass-Reflex Röhren auf der Rückseite erzeugen einen tiefen, kraftvollen Bass. Isolierte Front-Lautsprecher eliminieren zusätzlich ungewünschte Vibrationen</body>.

<header>40W Kraftpaket mit 4 Amplifiern</header>
<body>Die vier eingebauten Einzelverstärker mit insgesamt 40 Watt Leistung versorgen exklusiv einen der beiden Hauptlautsprecher oder einen der beiden Super-Tieftöner. Dieser Aufbau minimiert Störungen und sorgt selbst bei höheren Lautstärken für einen klaren und kraftvollen Klang.</body>

<header>Made for iPod / iPhone</header>
<body>Fit für iPhone/iPod? Aber klar. Der Dock-Anschluss schützt mit einer durchsichtigen Schiebeklappe dein iPhone oder deinen iPod auf die smarte Art. Du kannst das eingesteckte Gerät mit der Fernbedienung starten und durch die transparente Abdeckung die Displayinhalte erkennen.</body>
<header></header>
<header>Anschlüsse zu Smartphone, Tablet und mehr</header>
<body>Die Boomblaster RV-S-Serie unterstützt die gängigsten Anschlüsse und Speichermedien für deine Musikdateien. Zur Wahl stehen ein iPhone/iPod-Dock, zwei USB-Anschlüsse (einer davon ist für das iPhone 5 geeignet) und ein Steckplatz für SD-Speicherkarten. Darüber hinaus kannst du über UKW-Tuner Radio hören.</body>"		RV-S 1 WE WEISS	
1665498 SCD 3700 WS PORTABLE AUDIO	1165;307	ACTIVE				SCD 3700 WS PORTABLE AUDIO	
1665700 ZSB-TY 52 C	1165;307	ACTIVE				ZSB-TY 52 C	
1665497 SCD 3700 SW PORTABLE AUDIO	1165;307	ACTIVE				SCD 3700 SW PORTABLE AUDIO	
1671132 CD 52 WEISS/BLAU	1165;307	ACTIVE				CD 52 WEISS/BLAU	
1665494 SCD 2100 LI PORTABLE-AUDIO	1165;307	ACTIVE				SCD 2100 LI PORTABLE-AUDIO	
1665492 SCD 2100 SW PORTABLE-AUDIO	1165;307	ACTIVE				SCD 2100 SW PORTABLE-AUDIO	
1665495 SCD 2250 GR PORTABLE AUDIO	1165;307	ACTIVE				SCD 2250 GR PORTABLE AUDIO	
1665493 SCD 2100 GR PORTABLE-AUDIO	1165;307	ACTIVE				SCD 2100 GR PORTABLE-AUDIO	
1665496 SCD 2250 LI PORTABLE AUDIO	1165;307	ACTIVE				SCD 2250 LI PORTABLE AUDIO	
1664865 ZS-PE 40 CPW	1165;307	ACTIVE				ZS-PE 40 CPW	
1665971 RCR 4625 CD/RD ROT	1165;307	ACTIVE	"Stereo Boombox
mit CD und Kassette"			Radiorecorder	
1667044 ISCD 36 WEISS	1165;307	ACTIVE				ISCD 36 WEIß	
1671130 CD 52 WEISS/ROT	1165;307	ACTIVE				CD 52 WEISS/ROT	
1667039 ISCD 33 WEISS	1165;307	ACTIVE				ISCD 33 WEISS	
1716447 SCD 2100 PI	1165;307	ACTIVE				SCD 2100 PI	
1705200 M 28 RDB SCHWARZ	1165;307	ACTIVE				M 28 RDB SCHWARZ	
1705196 M 28 OP PARIS DESIGN	1165;307	ACTIVE				M 28 OP PARIS DESIGN	
1695821 RCD 130 GRÜN	1165;310	ACTIVE				RCD 130 GRÜN	
1706141 SOUND 200 WEISS	1165;307;1167	ACTIVE		"<header>DAB+ Tischgerät der Spitzenklasse mit Rekorder</header>
<body>Das Roberts Sound 200 ist ein multifunktionales stationäres Soundsystem mit iPod-Dock, DAB+ / UKW RDS Radio, CD-Player, USB sowie SD-Karte Aufnahme und Wiedergabe. Stylish, modern und unaufdringlich, dabei praktisch und einfach zu bedienen, passt es sich jeder Umgebung an und setzt einen optischen Akzent. Das klangoptimierte Holzgehäuse im edlen Klavierlack-Design kombiniert mit einem auf der Geräteoberseite angebrachtem Bedienfeld im Alu-Look und leistungsstarke Stereo-Lautsprecher sorgen für hochwertige Anmutung und Topsound.</body>

<body>Der Equalizer mit jeweils sechsstufiger Skala für separate Bass- und Höheneinstellungen gibt noch einmal Einflussmöglichkeiten für den optimalen Klang. Zusätzlich läßt sich durch DRC (Dynamic Range Control) die Lautstärke an die Umgebungslautstärke anpassen; was besonders in lauter Umgebung ( z. B. bei geöffnetem Fenster ) oder in stiller Umgebung ( z. B. im Schlafzimmer ) eine angenehme Sounddynamik ( Anpassung der Höhen und Bässe ) ermöglicht. Ein in blau gestaltetes digitales Display informiert über Uhrzeit und eingestellten Sender. 20 Sender sind programmierbar und Sleep- sowie Weckfunktionen lassen das Sound 200 auch im Schlafzimmer gut aussehen. Alle Einstellungen lassen sich über das auf der Oberseite des Gerätes angebrachte Bedienfeld bequem vornehmen.</body>

<body>Die Wiedergabemöglichkeiten für MP3- und WMA-Dateien sind nahezu unbegrenzt. Aufnahmemöglichkeiten von Radio oder CD sowohl auf SD-Karte als auch auf USB-Geräte machen aus dem Sound 200 einen modernen Radiorekorder und das iPod-Dock sowie ein integrierter CD-Player erlauben das einfache Abspielen jeder Lieblingsmusik - wahlweise auch vom Sessel aus, gesteuert mit der einfach zu bedienenden Infrarot-Fernbedienung - und über die AUX-In Schnittstelle lassen sich externe Geräte anschließen.</body>

<body>Alles in allem: Das Roberts Sound 200 ist ein echter Allrounder mit DAB+ / UKW Empfang, ausgezeichnetem Klang und vielen technischen Möglichkeiten, das zudem ein außerordentlich gutes Preis-Leistungsverhältnis bietet.</body>"		SOUND 200 WEISS	
1696190 RV-S 5 BE 6	1165;307	ACTIVE				RV-S 5 BE 6	
1707508 SR 4352 SCHWARZ-ORANGE	1165;307	ACTIVE				SR 4352 SCHWARZ-ORANGE	
1705193 M 28 NY NEW YORK	1165;307	ACTIVE				M 28 NY NEW YORK	
1705195 M 28 UK UK DESIGN	1165;307	ACTIVE				M 28 UK UK DESIGN	
1708699 B 4 E ROT	1165;307	ACTIVE				B 4 E ROT	
1716452 SCD 6900 GR	1165;307	ACTIVE				SCD 6900 GR	
1715370 RCD 1150	1165;307	ACTIVE				RCD 1150	
1703846 SR 4351 SCHWARZ	1165;307;7983	ACTIVE				AEG SR 4351 schwarz-silber	
1705201 M 28 RDW WEISS	1165;307	ACTIVE				M 28 RDW WEISS	
1696189 RV-S 3 DAB+	1165;307	ACTIVE		"<header>Stylisches Design/Kraftvoller Sound</header>

<body>Die neue Boomblaster RV-S Serie hat das Beste von allem. Ein schlankes und elegantes Design, das hervorragend zu modernen Einrichtungen passt und das gewisse Etwas, das immer und überall gut ankommt.</body>
<body>In dem schicken, uniformen Äußeren steckt ein temperamentvoller Typ, der es drauf hat. Mit satten 40 Watt Leistung, zwei Super-Tieftönern und seiner schlanken Bauform gibt sich die Boomblaster RV-S-Serie wie du – außen cool gestylt und innen voller Leidenschaft für Musik.</body>

<header>Unverwechselbares Kennzeichen: zwei Super-Tieftöner</header>

<body>Was macht den Boomblaster so klangstark? Die beiden seitlich im Gehäuse integrierten 13 cm-Super-Tieftöner. Zur Vermeidung störender Schwingungen werden die Lautsprecherchassis Rücken-an-Rücken platziert und symmetrisch angesteuert. Die zylindrische Bauform und die rückseitigen Bassreflex-Kanäle begünstigen die satte, unverfälschte Tieftonwiedergabe. </body>

<header>Dezent integrierter iOS-Dock</header>

<body>Fit für iPhone/iPod? Aber klar. Der Dock-Anschluss schützt mit einer durchsichtigen Schiebeklappe dein iPhone oder deinen iPod auf die smarte Art. Du kannst das eingesteckte Gerät mit der Fernbedienung starten und durch die transparente Abdeckung die Displayinhalte erkennen.</body>

<header>Anschlüsse zu Smartphone, Tablet und mehr</header>

<body>Die Boomblaster RV-S-Serie unterstützt die gängigsten Anschlüsse und Speichermedien für deine Musikdateien. Zur Wahl stehen ein iPhone/iPod-Dock, zwei* USB-Anschlüsse (einer davon ist für das iPhone 5* geeignet) und ein Steckplatz für SD-Speicherkarten. Darüber hinaus kannst du über UKW-Tuner oder den digitalen DAB+**-Tuner Radio hören</body>

<header>Für kabelloses Musikvergnügen</header>

<body>Der RV-S5 unterstützt drahtloses Audio-Streaming über die Technologien Airplay und DLNA. Wer kabellos einfach spontan Musik hören möchte, setzt auf den schnellen und einfachen Verbindungsaufbau ohne Router. Erfolgt die Einbindung über einen WLAN-Router, ist der Zugriff auf Server wie NAS-Geräte möglich. Dem Boomblaster steht damit deine zentral gespeicherte Hitsammlung zu Hause offen – die leistungsfähige, smarte Art kabellos Musik zu hören.</body>"		RV-S 3 DAB+	
1716448 SCD 3800 SW	1165;307	ACTIVE				Stereo-Radio portable mit CD / BLUETOOTH 3.0	
1716755 B 15 E BLAU	1165;307	ACTIVE				B 15 E BLAU	
1716304 CD 52 USB STREET	1165;307	ACTIVE				CD 52 USB STREET	
1716451 SCD 6900 RO	1165;307	ACTIVE				SCD 6900 RO	
1716756 B 15 E ROT	1165;307	ACTIVE				B 15 E ROT	
1708696 B 4 E BLAU	1165;307	ACTIVE				B 4 E BLAU	
1716449 SCD 3800 WS	1165;307	ACTIVE				Stereo-Radio portable mit CD / BLUETOOTH 3.1	
1716450 SCD 6900 SW	1165;307	ACTIVE				SCD 6900 SW	
1703844 SR 4353 WEISS-SCHWARZ	1165;307	ACTIVE				SR 4353 WEISS-SCHWARZ	
1705192 M 21 PK PINK	1165;307	ACTIVE				M 21 PK PINK	
1736335 ZS-RS 70 BTB	1165;307;1167	ACTIVE				ZS-RS 70 BTB	
1733605 B 3 E BLAU	1165;307	ACTIVE				B 3 E BLAU	
1739118 B 3 E SCHWARZ	1165;307	ACTIVE	Der Blaupunkt B 3e ist ein kompakter CD-Player, der CD/-R/-RW/MP3 abspielt. Darüber hinaus kann das Gerät per MP3-Link auch problemlos MP3-Dateien von externen Geräten wiedergeben (MP3 Player oder PC).			Toploader Boombox mit analog Tuner für UKW und MW Empfang	
1731473 AZ 105 G GRÜN	1165;307	ACTIVE	Freuen Sie sich über den hohen Bedienkomfort. Mit der kompakten und tragbaren Philips CD-Soundmachine können Sie Ihre Lieblingsmusik mit einfachen Bedienfunktionen genießen.	Freuen Sie sich über den hohen Bedienkomfort. Mit der kompakten und tragbaren Philips CD-Soundmachine können Sie Ihre Lieblingsmusik mit einfachen Bedienfunktionen genießen.		"Programmieren Sie Ihre
Lieblingsmusik"	
1738984 TCU 204 BLAU	1165;307	ACTIVE				Boombox mit Toploading CD-Player und USB-Anschluss	
1731630 SRP 4354	1165;307	ACTIVE				SRP 4354	
1738985 TCU 204 ROT	1165;307	ACTIVE				Boombox mit Toploading CD-Player und USB-Anschluss	
1731743 SCD 89 ROT	1165;307	ACTIVE	"Tragesbare CD-Radio mit Cassette
Toplader CD-Player, Kassettengerät, LCD-Display
FM Radio, Audiomormate: CD, CD-R/RW
Wiederholungsfunktion, Teleskopantenne, 2 Lautsprecher
Netz- und Batteriebetrieb, 3,5 mm Kopfhörerbuchse"	"<header>Produktbeschreibung</header>
<header></header>
<body>Tragesbare CD-Radio mit Cassette, Toplader CD-Player, Kassettengerät, LCD-Display, FM Radio, Audiomormate: CD, CD-R/RW, Wiederholungsfunktion, Teleskopantenne, 2 Lautsprecher, Netz- und Batteriebetrieb, 3,5 mm Kopfhörerbuchse</body>"		Tragesbare CD-Radio mit Cassette	
1738981 TCU 204 SCHWARZ	1165;307	ACTIVE				Boombox mit Toploading CD-Player und USB-Anschluss	
1736333 ZS-BTG 905	1165;307	ACTIVE				ZS-BTG 905	
1731475 AZ 105 V VIOLETT	1165;307	ACTIVE				Freuen Sie sich über den hohen Bedienkomfort. Mit der kompakten und tragbaren Philips CD-Soundmachine können Sie Ihre Lieblingsmusik mit einfachen Bedienfunktionen  genießen.	
1735657 M 29 RDW	1165;307	ACTIVE				M 29 RDW	
1734168 RCD 102 FU BOOMBOX	1165;310;1166	ACTIVE		AM/FM Radio. Top-Loader CD-Player. 2 Lautsprecher mit je 0.8 Watt. AUX-IN Anschluss.		RCD 102 FURBY CD BOOMBOX RADIO	
1733606 B 3 E ROT	1165;307	ACTIVE				B 3 E ROT	
1733607 B 46 E	1165;307	ACTIVE				B 46 E	
1731745 SCD 89 BLAU	1165;307	ACTIVE				Tragbares CD-Radio mit Kassettengerät	
1006180 SCD 24 WEISS	1165;307	ACTIVE				SCD 24 OHNE MP3	
1149009 CARS CD-BOOM-BOX C 500 B	1165;310;307	ACTIVE				CARS CD-BOOM-BOX C 500 B	
1756535 RCD 1445 USB SILVER / BLACK	1165;307	ACTIVE				RCD 1445 USB SILVER / BLACK	
1756536 RCD 1445 USB PINK / SILVER	1165;307	ACTIVE				RCD 1445 USB GRÜN/SILBER	
1756537 RCD 1445 USB BLUE / SILVER	1165;307	ACTIVE				RCD 1445 USB BLUE / SILVER	
1756538 RCD 1445 USB BLACK / SILVER	1165;307	ACTIVE				RCD 1445 USB BLACK / SILVER	
1748589 SR 4353 ROT-SCHWARZ	1165;307	ACTIVE				SR 4353 ROT-SCHWARZ	
1754713 AZ 420/12	1165;289	ACTIVE				AZ 420/12	
1757692 SCR 97	1165;307	ACTIVE				Tragbares CD/MP3 Radio mit cassettenplayer	
1755731 RV-NB 75 BE SCHWARZ	1165;307	ACTIVE				RV-NB 75 BE SCHWARZ	
1063028 SW-M 7 CG	1165;307	ACTIVE	CD-Radiorecorder mit Kassettendeck	CD-Radiorecorder mit Kassettendeck		SW-M 7 CG	
